cluster,values
1,0.998684
2,0.99868137
3,0.9986778
4,0.9986749
5,0.99867237
6,0.9986713
7,0.99867165
8,0.998672
9,0.99867237
10,0.9986726
11,0.9986727
18,0.99868625
19,0.9986777
20,0.9986803
21,0.99868673
22,0.99866307
23,0.99864846
24,0.9986444
25,0.99864477
26,0.9986695
27,0.99865997
28,0.99865216
29,0.9986527
30,0.99865204
31,0.998672
32,0.9986627
33,0.9986558
34,0.9986572
35,0.9986577
36,0.0015086448
37,0.0014543377
38,0.0014351124
39,0.0014301451
40,0.0014297809
41,0.0014583812
42,0.0014568266
43,0.0014907285
44,0.0014726123
45,0.0014297937
46,0.0014274095
47,0.00142085
48,0.0014209138
49,0.0014198546
50,0.0014191131
51,0.0014196261
52,0.0014214334
53,0.0014229977
54,0.0014239942
55,0.0014282165
